doc_id,doc_name,alt_id,alt_name,doc_session,doc_type,doc_area_major,doc_area_minor,doc_description,doc_url,is_current_session
22hb5857,HB 5857 of 2022,NA,NA,2021-2022,HB,Education,curriculum,"Education: curriculum; civics instruction in K-12 curriculum; modify. Amends secs. 1166, 1278 & 1278a of 1976 PA 451 (MCL 380.1166 et seq.).Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5857,FALSE
22hb5858,HB 5858 of 2022,NA,NA,2021-2022,HB,Administrative procedure,rules,"Administrative procedure: rules; annual review of rules, regulations, and licensing requirements imposed on businesses; require. Amends secs. 8 & 31 of 1969 PA 306 (MCL 24.208 & 24.231) & adds sec. 47a.Last Action: bill electronically reproduced 02/24/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5858,FALSE
22hb5859,HB 5859 of 2022,NA,NA,2021-2022,HB,School aid,categoricals,School aid: categoricals; learning loss recovery grant program; create. Creates new act.Last Action: defeated Roll Call # 282 Yeas 51 Nays 56 Excused 0 Not Voting 3,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5859,FALSE
22hb5860,HB 5860 of 2022,NA,NA,2021-2022,HB,Family law,child support,"Family law: child support; biological father to pay 50 percent of insurance premiums during pregnancy, including hospital birth of the child; provide for. Amends sec. 2 of 1956 PA 205 (MCL 722.712).  TIE BAR WITH: HB 5861'22Last Action: bill electronically reproduced 03/01/2022",https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5860,FALSE
22hb5861,HB 5861 of 2022,NA,NA,2021-2022,HB,Family law,paternity,Family law: paternity; biological father to pay 50% of insurance premiums for pregnancy-related medical expenses; amend paternity act to provide for. Amends sec. 5b of 1982 PA 295 (MCL 552.605b).  TIE BAR WITH: HB 5860'22Last Action: bill electronically reproduced 03/01/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5861,FALSE
22hb5862,HB 5862 of 2022,NA,NA,2021-2022,HB,Torts,liability,Torts: liability; campgrounds; provide for limited liability. Creates new act.Last Action: bill electronically reproduced 03/01/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5862,FALSE
22hb5863,HB 5863 of 2022,NA,NA,2021-2022,HB,Businesses,associations,Businesses: associations; conversion of summer resort associations into nonprofit corporations; authorize. Amends 1897 PA 230 (MCL 455.1 - 455.24) by adding sec. 19.  TIE BAR WITH: HB 5864'22Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5863,FALSE
22hb5864,HB 5864 of 2022,NA,NA,2021-2022,HB,Businesses,nonprofit corporations,Businesses: nonprofit corporations; conversion of summer resort associations into nonprofit corporations; authorize. Amends sec. 123 of 1982 PA 162 (MCL 450.2123).  TIE BAR WITH: HB 5863'22Last Action: REFERRED TO COMMITTEE ON ECONOMIC AND SMALL BUSINESS DEVELOPMENT,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5864,FALSE
22hb5865,HB 5865 of 2022,NA,NA,2021-2022,HB,Environmental protection,funding,Environmental protection: funding; state water pollution control revolving fund and safe drinking water revolving fund; expand. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 5316a.Last Action: bill electronically reproduced 03/01/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5865,FALSE
22hb5866,HB 5866 of 2022,NA,NA,2021-2022,HB,Local government,other,Local government: other; certain nondisclosure agreements entered into by local governments; prohibit. Creates new act.Last Action: bill electronically reproduced 03/01/2022,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2022-HB-5866,FALSE
